"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"34","Charadrius hiaticula",0,12844,0,12748,0,12748,0,12702,0,12702
"35","Cinclus cinclus",0,8990,0,8899,0,8899,0,8836,0,8836
"36","Circus cyaneus",157486,14345,153050,14273,153050,14273,151545,14237,151545,14237
"37","Clangula hyemalis",0,5518,0,5514,0,5514,0,5502,0,5502
"38","Columba livia",0,57220,0,56663,0,56663,0,56385,0,56385
"39","Columba palumbus",0,48963,0,48263,0,48263,0,47938,0,47938
"40","Corvus corax",275337,11067,266124,11058,266098,11058,264214,11050,264170,11050
"41","Corvus corone",299323,39604,283616,38858,283599,38858,279087,38412,279059,38412
"42","Corvus frugilegus",65522,15331,57914,15252,57912,15252,56869,15195,56865,15195
"43","Corvus monedula",229141,31944,216269,31654,216244,31654,213523,31479,213482,31479
"44","Coturnix coturnix",0,41020,0,40644,0,40644,0,40496,0,40496
"45","Cuculus canorus",0,25236,0,24805,0,24805,0,24645,0,24645
"46","Cygnus cygnus",0,4761,0,4751,0,4751,0,4743,0,4743
"47","Cygnus olor",0,3093,0,3089,0,3089,0,3084,0,3084
"48","Dama dama",0,1622,0,1479,0,1479,0,1433,0,1433
"49","Delichon urbicum",0,18586,0,18260,0,18260,0,18093,0,18093
"50","Dendrocopos major",4139,22007,2992,21657,2992,19044,2816,21517,2816,18482
"51","Emberiza citrinella",0,95108,0,93945,0,93945,0,93459,0,93459
"52","Emberiza schoeniclus",0,104680,0,103610,0,103610,0,103101,0,103101
"53","Eremophila alpestris",0,31103,0,30156,0,30156,0,29861,0,29861
"54","Erinaceus europaeus",18510,19219,14859,18921,14859,18921,14521,18739,14521,18739
"55","Erithacus rubecula",0,77626,0,76660,0,76660,0,76302,0,76302
"56","Falco columbarius",321677,14519,314241,14431,313829,14431,311623,14384,311151,14384
"57","Falco peregrinus",344123,5818,332210,5795,331565,5795,329248,5778,328522,5778
"58","Falco tinnunculus",253053,23932,241699,23895,241699,23895,239688,23865,239688,23865
"59","Felis silvestris",90520,2515,86616,2511,86604,2511,85755,2505,85732,2505
"60","Fringilla coelebs",0,99849,0,98493,0,98493,0,97988,0,97988
"61","Fringilla montifringilla",0,64597,0,63601,0,63601,0,63228,0,63228
"62","Fulica atra",3752,32127,3752,31747,3752,31747,3752,31535,3752,31535
"63","Gallinago gallinago",0,38898,0,38731,0,38731,0,38612,0,38612
"64","Gallinula chloropus",0,46061,0,45632,0,45632,0,45391,0,45391
"65","Haliaeetus albicilla",94296,0,93731,0,93599,0,93499,0,93337,0
"66","Hirundo rustica",0,13904,0,13640,0,13640,0,13511,0,13511
"67","Lagopus lagopus",0,19645,0,19495,0,19495,0,19455,0,19455
"68","Lagopus muta",0,4918,0,4856,0,4856,0,4825,0,4825
"69","Lanius excubitor",224563,10318,216584,10218,216584,10218,214781,10186,214781,10186
"70","Lepus europaeus",0,26773,0,26204,0,26204,0,26065,0,26065
"71","Lepus timidus",0,21434,0,21278,0,21278,0,21236,0,21236
"72","Limosa lapponica",0,2503,0,2494,0,2494,0,2484,0,2484
"73","Locustella naevia",0,21675,0,19464,0,19464,0,19010,0,19010
