"","SPECIES","GRIDS LOST FROM START TO PRIMARY EXTINCTIONS","GRIDS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS","GRIDS LOST FROM START TO PRIMARY FUTURE","GRIDS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE"
"148","Turdus philomelos",1,0,1,0
"149","Turdus pilaris",0,0,1,0
"150","Turdus torquatus",9,0,16,0
"151","Turdus viscivorus",0,0,0,0
"152","Tyto alba",0,0,0,0
"153","Vanellus vanellus",10,0,21,0
"154","Vulpes vulpes",3,0,4,0
"155","Accipiter gentilis",19,0,30,0
"156","Acrocephalus arundinaceus",37,0,60,0
"157","Acrocephalus dumetorum",4,0,4,0
"158","Acrocephalus palustris",84,0,123,0
"159","Acrocephalus scirpaceus",10,0,15,0
"160","Aegolius funereus",0,0,1,0
"161","Alces alces",7,0,9,0
"162","Anas acuta",0,0,0,0
"163","Anthus campestris",46,0,72,0
"164","Apodemus agrarius",0,0,0,0
"165","Apodemus flavicollis",0,0,0,0
"166","Apodemus uralensis",0,0,0,0
"167","Athene noctua",10,0,20,0
"168","Bombycilla garrulus",5,0,8,0
"169","Bonasa bonasia",1123,0,1199,0
"170","Botaurus stellaris",111,0,154,0
"171","Bubo bubo",0,0,0,0
"172","Buteo lagopus",27,0,47,0
"173","Canis lupus",1,0,2,0
"174","Caprimulgus europaeus",102,0,152,0
"175","Carpodacus erythrinus",22,0,39,0
"176","Castor fiber",20,0,37,0
"177","Charadrius dubius",72,0,114,0
"178","Chlidonias niger",12,0,24,0
"179","Circaetus gallicus",621,0,708,0
"180","Circus aeruginosus",27,0,45,0
"181","Coccothraustes coccothraustes",37,0,59,0
"182","Columba oenas",15,0,31,0
"183","Coracias garrulus",14,606,18,677
"184","Crex crex",103,0,143,0
"185","Dendrocopos leucotos",1,0,1,0
"186","Dryocopus martius",7,0,12,0
"187","Eliomys quercinus",550,4,596,8
"188","Emberiza hortulana",216,0,269,0
"189","Eptesicus nilssonii",162,0,198,0
"190","Erinaceus roumanicus",4,0,5,0
"191","Falco subbuteo",198,0,282,0
"192","Falco vespertinus",1,0,1,0
"193","Ficedula hypoleuca",3,0,5,0
"194","Ficedula parva",5,0,15,0
"195","Galerida cristata",9,0,17,0
"196","Gallinago media",1,0,1,0
"197","Garrulus glandarius",1,0,3,0
"198","Glaucidium passerinum",217,0,275,0
"199","Grus grus",1,0,1,0
"200","Hippolais icterina",46,0,75,0
"201","Ixobrychus minutus",557,0,626,0
"202","Jynx torquilla",62,0,109,0
"203","Lanius collurio",15,0,25,0
"204","Limosa limosa",9,0,15,0
"205","Locustella fluviatilis",103,0,131,0
"206","Loxia pytyopsittacus",7,0,14,0
"207","Lullula arborea",611,0,688,0
"208","Luscinia luscinia",12,0,15,0
"209","Lynx lynx",4,0,9,0
"210","Martes foina",20,0,33,0
"211","Mergellus albellus",100,0,121,0
"212","Mergus merganser",16,155,28,167
"213","Micromys minutus",0,0,0,0
"214","Microtus arvalis",0,0,0,0
"215","Microtus levis",0,0,0,0
"216","Microtus subterraneus",166,0,234,0
"217","Milvus migrans",138,0,202,0
"218","Motacilla citreola",2,0,5,0
"219","Motacilla flava",81,0,131,0
"220","Mustela putorius",1,0,2,0
"221","Myotis brandtii",6,0,12,0
"222","Myotis dasycneme",110,0,128,0
"223","Myotis mystacinus",919,0,1002,0
"224","Nucifraga caryocatactes",4,0,7,0
"225","Nyctalus noctula",803,0,905,0
"226","Oriolus oriolus",20,0,34,0
"227","Otus scops",271,0,309,0
"228","Pernis apivorus",55,1,93,1
"229","Phoenicurus ochruros",20,0,33,0
"230","Phylloscopus trochiloides",11,0,16,0
"231","Picoides tridactylus",5,0,12,0
"232","Picus canus",45,0,72,0
"233","Picus viridis",1,0,3,0
"234","Pipistrellus nathusii",144,0,211,0
"235","Pteromys volans",4,0,5,0
"236","Remiz pendulinus",243,0,306,0
"237","Serinus serinus",41,0,69,0
"238","Sicista betulina",248,0,302,0
"239","Sitta europaea",3,0,6,0
"240","Sorex caecutiens",6,0,13,0
"241","Streptopelia turtur",37,0,60,0
"242","Strix uralensis",0,0,0,0
