"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"802","4136",3016,0.188660477453581,0.00245198201879853,0.210875331564987,0.00252100840336134
"803","16",3,0,0,0,0
"804","3594",2529,0.183867141162515,0.00581395348837209,0.225780941083432,0.00612870275791624
"805","3971",2383,0.0402853545950483,0,0.0402853545950483,0
"806","1243",1361,0.0440852314474651,0,0.0440852314474651,0
"807","2554",645,0.0573643410852713,0,0.062015503875969,0
"808","1352",2871,0.00522466039707419,0,0.00940438871473354,0
"809","1496",2803,0.0331787370674278,0,0.0331787370674278,0
"810","4270",3508,0.0892246294184721,0.00312989045383412,0.115165336374002,0.00322164948453608
"811","3354",2463,0.135200974421437,0,0.16159155501421,0
"812","3921",2021,0.429490351311232,0.00433651344319167,0.522018802572984,0.005175983436853
